Otiginal_Train_Acc,Original_Test_Acc,Synthic_Train_Acc,Synthic_Test_Acc
0.078125,0.5,0.484375,0.4875
0.21875,0.5,0.609375,0.4875
0.109375,0.4875,0.5625,0.4875
0.125,0.5,0.625,0.4875
0.1875,0.475,0.53125,0.4875
0.25,0.45,0.5,0.4875
0.375,0.4125,0.5,0.4875
0.40625,0.35,0.6875,0.4875
0.640625,0.3375,0.609375,0.4875
0.75,0.375,0.6875,0.5125
0.765625,0.4,0.59375,0.5125
0.765625,0.4125,0.578125,0.5375
0.84375,0.4125,0.59375,0.575
0.78125,0.4375,0.765625,0.625
0.875,0.4375,0.671875,0.625
0.890625,0.4625,0.59375,0.6625
0.875,0.4625,0.625,0.75
0.765625,0.475,0.625,0.725
0.859375,0.4875,0.59375,0.75
0.828125,0.4875,0.5625,0.775
0.890625,0.4875,0.609375,0.8125
0.859375,0.4875,0.671875,0.8125
0.84375,0.4875,0.59375,0.8
0.84375,0.4875,0.546875,0.8
0.859375,0.4875,0.71875,0.8
0.90625,0.4875,0.71875,0.8
0.84375,0.4875,0.703125,0.8
0.828125,0.4875,0.75,0.8
0.859375,0.4875,0.65625,0.8
0.71875,0.4875,0.65625,0.825
0.890625,0.4875,0.78125,0.825
0.8125,0.4875,0.734375,0.825
0.875,0.4875,0.703125,0.825
0.90625,0.4875,0.703125,0.825
0.859375,0.4875,0.671875,0.825
0.890625,0.4875,0.828125,0.8
0.890625,0.5,0.65625,0.825
0.84375,0.5,0.78125,0.8125
0.859375,0.4875,0.6875,0.8
0.921875,0.4875,0.6875,0.7875
0.859375,0.4875,0.703125,0.7625
0.921875,0.4875,0.703125,0.7625
0.8125,0.4875,0.71875,0.7625
0.921875,0.4875,0.796875,0.7625
0.90625,0.4875,0.75,0.7625
0.875,0.4875,0.734375,0.7625
0.875,0.4875,0.71875,0.7625
0.78125,0.4875,0.8125,0.7625
0.90625,0.4875,0.640625,0.7625
0.875,0.5,0.78125,0.7625
0.890625,0.5,0.609375,0.7625
0.890625,0.5,0.671875,0.7875
0.859375,0.5,0.796875,0.8
0.875,0.5,0.78125,0.8
0.828125,0.5,0.703125,0.825
0.890625,0.5,0.6875,0.8375
0.90625,0.5,0.6875,0.85
0.875,0.5,0.71875,0.85
0.828125,0.5125,0.765625,0.875
0.875,0.525,0.8125,0.8625
0.859375,0.525,0.8125,0.875
0.890625,0.5375,0.796875,0.85
0.859375,0.5375,0.734375,0.8625
0.875,0.55,0.703125,0.875
0.859375,0.55,0.765625,0.875
0.859375,0.5625,0.625,0.875
0.90625,0.5625,0.8125,0.875
0.84375,0.5625,0.84375,0.875
0.859375,0.575,0.765625,0.875
0.890625,0.5875,0.8125,0.875
0.765625,0.5875,0.8125,0.875
0.890625,0.5875,0.671875,0.875
0.828125,0.5875,0.71875,0.875
0.9375,0.5875,0.796875,0.875
0.921875,0.5875,0.78125,0.875
0.859375,0.5875,0.6875,0.8625
0.890625,0.5875,0.78125,0.8625
0.90625,0.5875,0.796875,0.8625
0.828125,0.5875,0.859375,0.875
0.875,0.5875,0.8125,0.875
0.921875,0.5875,0.828125,0.875
0.890625,0.5875,0.765625,0.8875
0.921875,0.5875,0.8125,0.875
0.875,0.5875,0.796875,0.875
0.921875,0.5875,0.765625,0.875
0.890625,0.5875,0.78125,0.8625
0.84375,0.5875,0.734375,0.8625
0.90625,0.5875,0.765625,0.8625
0.859375,0.5875,0.734375,0.8625
0.890625,0.5875,0.84375,0.85
0.875,0.6,0.65625,0.8625
0.890625,0.6,0.734375,0.8625
0.890625,0.6,0.6875,0.8625
0.921875,0.6,0.8125,0.8625
0.875,0.6,0.84375,0.8625
0.90625,0.625,0.828125,0.8625
0.921875,0.625,0.75,0.8625
0.90625,0.625,0.703125,0.8625
0.890625,0.625,0.828125,0.8625
0.890625,0.625,0.8125,0.8625
0.875,0.625,0.78125,0.8625
0.890625,0.625,0.8125,0.8625
0.9375,0.625,0.8125,0.85
0.859375,0.625,0.71875,0.8625
0.90625,0.625,0.71875,0.8625
0.875,0.625,0.84375,0.875
0.859375,0.625,0.796875,0.875
0.921875,0.625,0.6875,0.875
0.859375,0.625,0.828125,0.8875
0.875,0.6375,0.796875,0.875
0.921875,0.6375,0.796875,0.875
0.859375,0.675,0.8125,0.875
0.921875,0.6875,0.8125,0.875
0.84375,0.7,0.796875,0.875
0.953125,0.7,0.78125,0.875
0.9375,0.7,0.765625,0.8875
0.90625,0.6875,0.90625,0.8875
0.921875,0.6875,0.8125,0.8875
0.921875,0.6875,0.828125,0.8875
0.890625,0.6875,0.78125,0.875
0.875,0.6875,0.78125,0.875
0.921875,0.6875,0.84375,0.875
0.890625,0.6875,0.71875,0.875
0.9375,0.7,0.796875,0.875
0.890625,0.7,0.828125,0.875
0.9375,0.7,0.875,0.875
0.890625,0.7,0.734375,0.875
0.859375,0.7,0.890625,0.875
0.953125,0.7,0.765625,0.8875
0.859375,0.7,0.828125,0.8875
0.921875,0.7,0.671875,0.8875
0.90625,0.7,0.875,0.8875
0.890625,0.7,0.84375,0.8875
0.890625,0.7,0.796875,0.8875
0.90625,0.7,0.875,0.8875
0.875,0.7,0.90625,0.8875
0.921875,0.7,0.796875,0.8875
0.953125,0.7,0.75,0.8875
0.90625,0.7,0.78125,0.875
0.90625,0.7,0.84375,0.875
0.921875,0.7,0.828125,0.875
0.875,0.7,0.765625,0.875
0.90625,0.7,0.828125,0.875
0.9375,0.7,0.71875,0.875
0.859375,0.7125,0.75,0.875
0.921875,0.7125,0.75,0.875
0.875,0.7125,0.734375,0.875
0.859375,0.7125,0.8125,0.875
0.96875,0.7,0.828125,0.875
0.875,0.7125,0.78125,0.875
0.859375,0.7125,0.796875,0.875
0.921875,0.7125,0.796875,0.875
0.859375,0.7125,0.765625,0.875
0.921875,0.725,0.84375,0.875
0.84375,0.7375,0.875,0.875
0.953125,0.7375,0.796875,0.875
0.953125,0.7375,0.828125,0.875
0.953125,0.7375,0.921875,0.875
0.921875,0.7375,0.75,0.875
0.9375,0.7375,0.78125,0.875
0.90625,0.7375,0.796875,0.875
0.90625,0.7375,0.78125,0.875
0.921875,0.7375,0.84375,0.875
0.90625,0.7375,0.890625,0.875
0.953125,0.7375,0.828125,0.875
0.9375,0.7375,0.859375,0.875
0.9375,0.7375,0.765625,0.875
0.921875,0.7375,0.78125,0.875
0.859375,0.7375,0.921875,0.875
0.953125,0.7375,0.859375,0.875
0.875,0.7375,0.828125,0.875
0.921875,0.7375,0.84375,0.875
0.90625,0.7375,0.796875,0.875
0.875,0.7375,0.78125,0.875
0.9375,0.7375,0.875,0.875
0.90625,0.7375,0.796875,0.875
0.875,0.7375,0.8125,0.875
0.921875,0.7375,0.828125,0.875
0.953125,0.7375,0.859375,0.875
0.90625,0.725,0.765625,0.875
0.90625,0.725,0.796875,0.875
0.921875,0.725,0.796875,0.875
0.890625,0.725,0.90625,0.875
0.90625,0.725,0.890625,0.875
0.953125,0.7375,0.765625,0.875
0.875,0.7375,0.921875,0.875
0.921875,0.7375,0.78125,0.8875
0.875,0.7375,0.8125,0.8875
0.859375,0.7375,0.84375,0.875
0.984375,0.7375,0.9375,0.875
0.890625,0.7375,0.859375,0.875
0.859375,0.7375,0.859375,0.875
0.921875,0.7375,0.859375,0.875
0.890625,0.7375,0.875,0.875
0.921875,0.7375,0.859375,0.875
0.875,0.7375,0.796875,0.875
0.953125,0.7375,0.90625,0.875
0.96875,0.7375,0.859375,0.875
0.9375,0.75,0.875,0.875
0.890625,0.75,0.78125,0.875
0.9375,0.75,0.71875,0.875
0.921875,0.75,0.859375,0.875
0.9375,0.75,0.921875,0.875
0.9375,0.75,0.78125,0.875
0.921875,0.75,0.859375,0.875
0.96875,0.7375,0.875,0.875
0.9375,0.7375,0.75,0.875
0.9375,0.7375,0.8125,0.875
0.9375,0.7375,0.828125,0.875
0.859375,0.7375,0.765625,0.875
0.9375,0.7375,0.8125,0.875
0.875,0.7375,0.8125,0.875
0.921875,0.7375,0.84375,0.875
0.921875,0.7375,0.890625,0.8875
0.890625,0.7375,0.875,0.8875
0.9375,0.7375,0.8125,0.875
0.921875,0.7375,0.84375,0.875
0.90625,0.7375,0.828125,0.875
0.921875,0.7375,0.84375,0.875
0.953125,0.7375,0.890625,0.875
0.90625,0.7375,0.90625,0.875
0.890625,0.7375,0.890625,0.875
0.921875,0.7375,0.875,0.875
0.90625,0.7375,0.8125,0.875
0.90625,0.7375,0.859375,0.875
0.953125,0.7375,0.875,0.875
0.875,0.7375,0.90625,0.875
0.9375,0.7375,0.8125,0.875
0.90625,0.7375,0.734375,0.8625
0.875,0.7375,0.84375,0.875
0.984375,0.7375,0.828125,0.875
0.90625,0.7375,0.84375,0.875
0.859375,0.75,0.84375,0.875
0.921875,0.75,0.84375,0.875
0.890625,0.75,0.890625,0.875
0.921875,0.75,0.859375,0.875
0.890625,0.7625,0.859375,0.875
0.953125,0.775,0.796875,0.875
0.984375,0.775,0.875,0.875
0.9375,0.775,0.75,0.875
0.921875,0.775,0.828125,0.875
0.9375,0.775,0.90625,0.875
0.921875,0.775,0.859375,0.875
0.9375,0.775,0.765625,0.875
0.953125,0.775,0.84375,0.8875
0.921875,0.775,0.875,0.8875
0.96875,0.7625,0.828125,0.875
0.9375,0.7625,0.9375,0.875
0.9375,0.7625,0.90625,0.875
0.921875,0.75,0.890625,0.875
